#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
NG06	HG02924	HG02923	HG02922	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG102	HG03499	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG106	HG03511	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG107	HG03514	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG107	HG03515	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG107	HG03516	HG03515	HG03514	2	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
NG108	HG03517	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG108	HG03518	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG108	HG03519	HG03518	HG03517	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG109	HG03520	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG109	HG03521	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG109	HG03522	HG03521	HG03520	2	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
NG11	HG02938	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG12	HG02941	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG13	HG02943	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG13	HG02944	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG13	HG02945	HG02944	HG02943	2	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
NG14	HG02946	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG14	HG02947	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG14	HG02948	HG02947	HG02946	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG16	HG02952	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG16	HG02953	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG16	HG02954	HG02953	HG02952	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG20	HG02964	0	0	2	ESN	AFR	0	0	0	0	PRJEB36890.698	n/a	n/a	f
NG20	HG02965	0	0	1	ESN	AFR	0	0	0	0	PRJEB36890.698	n/a	n/a	m
NG20	HG02966	HG02965	HG02964	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB36890.698	PRJEB36890.698	m
NG21	HG02968	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG22	HG02970	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG22	HG02971	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG22	HG02972	HG02971	HG02970	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG23	HG02973	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG23	HG02974	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG23	HG02975	HG02973	HG02974	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG24	HG02976	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG24	HG02977	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG24	HG02978	HG02977	HG02976	2	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
NG25	HG02979	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG25	HG02980	HG02981	HG02979	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG25	HG02981	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG26	HG03099	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG26	HG03100	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG26	HG03101	HG03100	HG03099	1	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
NG27	HG03103	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG28	HG03105	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG29	HG03108	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG29	HG03109	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG29	HG03110	HG03109	HG03108	2	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
NG30	HG03111	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG30	HG03112	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
NG30	HG03113	HG03112	HG03111	2	ESN	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
